Generation,OptimisticCooperator,PrudentCooperator,OptimisticDefector,PrudentDefector,Honest,Corrupt
2500,0.32,0.3,0.2,0.18,1,0
5000,0.26,0.2,0.24,0.3,0,1
7500,0.24,0.26,0.3,0.2,1,0
10000,0.3,0.24,0.14,0.32,1,0
12500,0.3,0.32,0.14,0.24,0.9,0.1
15000,0.3,0.12,0.32,0.26,1,0
17500,0.24,0.22,0.22,0.32,1,0
20000,0.28,0.22,0.24,0.26,1,0
22500,0.3,0.2,0.3,0.2,1,0
25000,0.24,0.26,0.26,0.24,1,0
27500,0.26,0.32,0.18,0.24,1,0
30000,0.18,0.24,0.38,0.2,1,0
32500,0.24,0.3,0.22,0.24,0,1
35000,0.22,0.3,0.26,0.22,0,1
37500,0.38,0.24,0.18,0.2,1,0
40000,0.16,0.28,0.26,0.3,1,0
42500,0.28,0.26,0.24,0.22,1,0
45000,0.34,0.22,0.22,0.22,1,0
47500,0.2,0.24,0.32,0.24,0.9,0.1
50000,0.1,0.34,0.32,0.24,1,0
52500,0.28,0.22,0.28,0.22,1,0
55000,0.12,0.38,0.24,0.26,1,0
57500,0.24,0.26,0.3,0.2,0,1
60000,0.2,0.28,0.28,0.24,0,1
62500,0.18,0.24,0.36,0.22,0,1
65000,0.28,0.26,0.24,0.22,1,0
67500,0.16,0.4,0.26,0.18,1,0
70000,0.3,0.18,0.26,0.26,1,0
72500,0.28,0.26,0.18,0.28,1,0
75000,0.3,0.2,0.3,0.2,1,0
77500,0.26,0.26,0.34,0.14,1,0
80000,0.22,0.34,0.28,0.16,1,0
82500,0.34,0.18,0.24,0.24,0,1
85000,0.2,0.16,0.4,0.24,0,1
87500,0.36,0.18,0.24,0.22,1,0
90000,0.2,0.28,0.24,0.28,1,0
92500,0.22,0.18,0.42,0.18,0,1
95000,0.28,0.22,0.24,0.26,0,1
97500,0.16,0.24,0.26,0.34,0,1
100000,0.34,0.26,0.24,0.16,0,1
